TIMESTAMP,START_LAT,START_LON,END_LAT,END_LON,SHIP_TYPE,SHIP_SPEED_KNOTS,ETD,ETA,DISTANCE_NM,DISTANCE_KM,DURATION_HOURS,WAVE,WIND,CURRENT,NUM_WAYPOINTS,NUM_CLUSTERS,FEEDBACK_RATING,FEEDBACK_TEXT
2025-10-04T15:36:26.353491,13.2399455,74.13574219,21.534847,59.80957031,Cargo Vessel,15,04-10-2025 00:00,06-10-2025 16:40,970.15,1796.72,64.68,50,50,50,301,390000,3,Average: Routine voyage with some manageable issues.
2025-10-04T16:32:17.185662,19.76670355,69.9609375,14.5623177,73.87207031,Cargo Vessel,15,04-10-2025 00:00,05-10-2025 23:29,712.3,1319.19,47.49,50,50,50,6,6500,4,Good: Minor issues but generally smooth voyage.
2025-10-04T17:06:51.176879,15.4748574,73.46557617,23.16056331,-97.20703125,Cargo Vessel,15,04-10-2025 00:00,30-10-2025 22:25,9696.47,17957.86,646.43,50,50,50,6,6500,5,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Excellent: Everything went smoothly, optimal route and performance."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
2025-10-04T15:36:26.353492,18.39541405,71.85058594,21.37829231,-144.8583984,Oil Tanker,18,04-10-2025 00:00,06-10-2025 16:40,18680.63855,34596.53,456,50,50,50,6,6500,4,Good: Minor issues but generally smooth voyage.
2025-10-04T16:32:17.185663,19.51287001,71.51550293,22.19115046,-223.3666992,Oil Tanker,17,04-10-2025 00:00,05-10-2025 23:29,970.151541,1796.72,265.57,50,50,50,6,6500,3,Average: Routine voyage with some manageable issues.
2025-10-04T17:06:51.176880,20.63032596,71.18041992,23.00400862,-301.875,Oil Tanker,20,04-10-2025 00:00,30-10-2025 22:25,712.3058748,1319.19,345,50,50,50,6,6500,1,Very poor: Major operational or environmental issues.
2025-10-04T15:36:26.353493,21.74778191,70.84533691,23.81686677,-380.3833008,Passenger Vessel,21,04-10-2025 00:00,06-10-2025 16:40,454.4602086,841.66,424.43,50,50,50,6,6500,3,Average: Routine voyage with some manageable issues.
2025-10-04T16:32:17.185664,22.86523786,70.51025391,24.62972493,-458.8916016,Passenger Vessel,23,04-10-2025 00:00,05-10-2025 23:29,4840.174548,8964,503.86,50,50,50,6,6500,2,Poor: Several challenges affecting efficiency or comfort.
2025-10-04T17:06:51.176881,23.98269381,70.1751709,25.44258308,-537.3999023,Passenger Vessel,22,04-10-2025 00:00,30-10-2025 22:25,654.967841,1213,583.29,50,50,50,6,6500,5,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Excellent: Everything went smoothly, optimal route and performance."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
2025-10-04T15:36:26.353494,25.10014976,69.84008789,26.25544123,-615.9082031,Passenger Vessel,20,04-10-2025 00:00,06-10-2025 16:40,47340.72998,87675,662.72,50,50,50,6,6500,2,Poor: Several challenges affecting efficiency or comfort.
2025-10-22T12:57:38.919168,12.511665400971031,74.62665838404185,20.097206227083888,58.801711649016056,Cargo Vessel,15,22-10-2025 00:00,25-10-2025 02:29,1117.43,2069.48,74.5,50,50,50,6,1350,4,Good. It saved us a lot of fuel.
2025-10-22T13:41:47.781314,13.710035342476681,74.40298810585496,21.616579336740603,59.766560115556274,Oil Tanker,16,22-10-2025 00:00,24-10-2025 18:10,1058.91,1961.1,66.18,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-22T13:57:11.826831,15.834535741221565,73.34811041286049,23.32208001137844,59.8105133527644,Cargo Vessel,15,22-10-2025 00:00,24-10-2025 22:21,1055.35,1954.51,70.36,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-22T14:04:57.934594,13.624633438236152,74.45039378613032,23.56398712845123,60.909978801596004,Cargo Vessel,15,22-10-2025 00:00,25-10-2025 01:10,1097.72,2032.98,73.18,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-23T13:51:52.156559,11.092165893502013,74.19309052968345,21.739091217718574,60.03126138526095,Cargo Vessel,15,23-10-2025 00:00,26-10-2025 01:08,1097.22,2032.04,73.15,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-23T13:53:44.090123,25.085598897064777,66.40562890734023,6.942785785094588,79.84431201746422,Cargo Vessel,15,23-10-2025 00:00,26-10-2025 23:53,1438.31,2663.75,95.89,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-23T13:56:32.664602,-33.87041555094183,18.36773061360304,39.35341418045878,-74.41659133968143,Cargo Vessel,15,23-10-2025 00:00,10-11-2025 23:06,6826.71,12643.07,455.11,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-23T14:06:01.189582,12.46876014482322,74.89043538176982,21.166483858206583,59.50349830373712,Cargo Vessel,15,23-10-2025 00:00,26-10-2025 03:11,1127.95,2088.96,75.2,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-23T14:17:09.154686,37.76202988573211,-122.5348859016349,52.669720383688166,-200.77388630901856,Cargo Vessel,15,23-10-2025 00:00,01-11-2025 16:12,3483.04,6450.6,232.2,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-24T11:36:29.967222,9.949914259696406,76.19079298566743,20.161676573791507,58.6755988105333,Oil Tanker,17,25-10-2025 00:00,28-10-2025 01:23,1247.58,2310.53,73.39,87,62,43,6,1350,4,It was a nice trip.
2025-10-27T02:08:23.804652,13.239945499286312,72.97519817518953,-25.16517336866393,111.48539868923595,Cargo Vessel,15,27-10-2025 00:00,05-11-2025 03:01,3285.32,6084.42,219.02,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-27T02:45:17.258034,17.371610024104744,72.57870761160837,22.30942584120019,59.9432892795899,Cargo Vessel,15,27-10-2025 00:00,29-10-2025 08:27,846.81,1568.29,56.45,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-27T04:04:55.922146,15.326571801420842,73.70307219446309,22.51255695405145,60.33860565837231,Cargo Vessel,15,27-10-2025 00:00,29-10-2025 19:41,1015.37,1880.47,67.69,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-27T04:10:40.419971,13.229250958879772,73.5879080211975,21.49396356306447,59.72313680473651,Cargo Vessel,15,27-10-2025 00:00,29-10-2025 16:34,968.64,1793.92,64.58,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
2025-10-27T04:40:24.277925,11.824341483849048,65.04254618258845,20.179723502765153,60.47049184129424,Cargo Vessel,15,27-10-2025 00:00,28-10-2025 19:19,649.8,1203.42,43.32,50,50,50,6,1350,3,Average: Routine voyage with some manageable issues.
